,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_0.25_b_2_g_10000,62.8188622754491,46.90909090909091,62.56111929307806,20.0,31.0,21.0,668.0,11.0,300.0,15.909771366358193,60.72727272727273
forest\w_0.25_b_1.5_g_10000,62.8188622754491,46.90909090909091,62.56111929307806,20.0,31.0,21.0,668.0,11.0,300.0,15.909771366358193,60.72727272727273
forest\w_0.25_b_1_g_10000,62.8188622754491,46.90909090909091,62.56111929307806,20.0,31.0,21.0,668.0,11.0,300.0,15.909771366358193,60.72727272727273
forest\w_1.5_b_2_g_100000,63.61622464898596,47.88461538461539,57.66537342386033,21.0,18.0,19.0,641.0,390.0,300.0,15.731609264370576,1.6435897435897435
forest\w_0.5_b_0.5_g_10000,72.37946428571429,57.372093023255815,71.06517311608961,22.0,37.0,24.0,448.0,43.0,300.0,15.007371262458477,10.418604651162791
forest\w_0.5_b_1_g_25000,63.545731707317074,48.65573770491803,62.278940027894,20.5,28.0,21.0,656.0,61.0,300.0,14.889994002399042,10.754098360655737
forest\w_0.5_b_0.25_g_10000,56.12068965517241,41.86666666666667,54.48854961832061,39.5,27.0,37.0,116.0,15.0,300.0,14.254022988505746,7.733333333333333
forest\w_0.5_b_1.5_g_25000,62.90704647676162,48.98461538461538,61.6707650273224,20.0,31.0,21.0,667.0,65.0,300.0,13.92243109214624,10.261538461538462
forest\w_0.5_b_2_g_25000,62.8188622754491,48.98461538461538,61.59208731241473,20.0,31.0,21.0,668.0,65.0,300.0,13.834246890833718,10.276923076923078
forest\w_1_b_0.75_g_100000,42.10034602076124,28.990654205607477,38.55808080808081,22.0,17.0,20.0,289.0,107.0,300.0,13.109691815153766,2.7009345794392523
forest\w_1.5_b_0.75_g_100000,41.7027027027027,29.085470085470085,37.776595744680854,24.0,18.0,21.0,259.0,117.0,300.0,12.617232617232617,2.213675213675214
forest\w_1.25_b_0.75_g_100000,41.65530303030303,29.084745762711865,37.77225130890052,23.5,18.0,21.0,264.0,118.0,300.0,12.570557267591166,2.23728813559322
forest\w_0.75_b_0.5_g_10000,90.89355742296918,78.72307692307692,89.01895734597156,30.0,40.0,32.0,357.0,65.0,300.0,12.170480499892264,5.492307692307692
forest\w_1.5_b_1_g_100000,47.54659949622166,35.91219512195122,43.584717607973424,22.0,17.0,20.0,397.0,205.0,300.0,11.634404374270439,1.9365853658536585
forest\w_1.25_b_1_g_100000,46.353960396039604,35.665,42.81456953642384,22.0,17.0,20.0,404.0,200.0,300.0,10.688960396039604,2.02
