,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_1.25_b_1.5_g_2500,63.090225563909776,135.87916666666666,82.39337016574585,20.0,71.0,31.0,665.0,240.0,300.0,-72.7889411027569,2.7708333333333335
forest\w_1.5_b_1.5_g_2500,63.090225563909776,135.87916666666666,82.39337016574585,20.0,71.0,31.0,665.0,240.0,300.0,-72.7889411027569,2.7708333333333335
forest\w_0.75_b_1.5_g_2500,63.090225563909776,136.19665271966528,82.41814159292035,20.0,71.0,31.0,665.0,239.0,300.0,-73.10642715575551,2.782426778242678
forest\w_0.25_b_0.25_g_100000,67.84055459272098,,67.84055459272098,22.0,,22.0,577.0,0.0,300.0,,0.0
forest\w_0.25_b_0.25_g_25000,68.11190053285968,,68.11190053285968,21.0,,21.0,563.0,0.0,300.0,,0.0
forest\w_0.25_b_0.5_g_100000,63.06315789473684,,63.06315789473684,20.0,,20.0,665.0,0.0,300.0,,0.0
forest\w_0.25_b_0.75_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.25_b_1.5_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.25_b_1_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.25_b_2_g_100000,62.8188622754491,,62.8188622754491,20.0,,20.0,668.0,0.0,300.0,,0.0
forest\w_0.5_b_0.25_g_100000,71.40458015267176,,71.40458015267176,28.0,,28.0,131.0,0.0,300.0,,0.0
forest\w_0.75_b_0.25_g_100000,56.280701754385966,,56.280701754385966,23.0,,23.0,57.0,0.0,300.0,,0.0
forest\w_1.25_b_0.25_g_100000,20.25,,20.25,5.0,,5.0,4.0,0.0,300.0,,0.0
forest\w_1.5_b_0.25_g_100000,1.0,,1.0,1.0,,1.0,1.0,0.0,300.0,,0.0
forest\w_1_b_0.25_g_100000,63.25,,63.25,38.0,,38.0,20.0,0.0,300.0,,0.0
