,degree_term,degree_steiner,degree_combined,median_term,median_steiner,median_combine,num_terminal,num_steiner,num_combined,degree_steiner_term_diff,coherency
forest\w_3_b_2_g_25000,106.82437275985663,35.120636486986555,37.50620081087527,47.0,16.0,17.0,279.0,8107.0,400.0,71.70373627287007,0.03441470334279018
forest\w_3_b_3_g_25000,105.91489361702128,34.43647540983606,36.78631382606668,47.0,16.0,16.0,282.0,8296.0,400.0,71.47841820718521,0.033992285438765674
forest\w_1_b_2_g_25000,106.0711743772242,34.704218483296756,37.068254155369566,47.0,16.0,16.0,281.0,8202.0,400.0,71.36695589392744,0.034259936600829065
forest\w_1_b_1_g_10000,110.36802973977696,40.60859762513152,43.319560820572086,49.0,20.0,21.0,269.0,6653.0,400.0,69.75943211464543,0.040432887419209376
forest\w_3_b_1_g_10000,110.36802973977696,40.721024868123585,43.434675550405565,49.0,20.0,21.0,269.0,6635.0,400.0,69.64700487165337,0.04054257724189902
forest\w_3_b_2_g_10000,107.53429602888086,38.85923087838797,41.456581103222284,47.0,19.0,20.0,277.0,7047.0,400.0,68.67506515049288,0.03930750674045693
forest\w_1_b_2_g_10000,107.15107913669065,38.65414489478887,41.241744802282916,47.0,19.0,19.0,278.0,7081.0,400.0,68.49693424190178,0.03925999152662053
forest\w_1_b_3_g_10000,106.0711743772242,37.87174182871328,40.416091343600634,47.0,19.0,19.0,281.0,7251.0,400.0,68.19943254851091,0.03875327541028824
forest\w_3_b_3_g_10000,106.0711743772242,37.87773949000689,40.420514861995755,47.0,19.0,19.0,281.0,7255.0,400.0,68.19343488721731,0.03873190902825638
forest\w_0.5_b_1_g_25000,108.93014705882354,40.90922869653082,43.88856682769726,47.5,19.0,19.0,272.0,5938.0,400.0,68.02091836229272,0.04580666891209161
forest\w_0.5_b_1_g_10000,108.37591240875912,40.47969143576826,43.287352852399636,47.5,20.0,20.0,274.0,6352.0,400.0,67.89622097299086,0.0431360201511335
forest\w_1_b_1_g_5000,110.08518518518518,42.57606065494434,45.393723914051634,48.5,22.0,22.0,270.0,6199.0,400.0,67.50912453024084,0.043555412163252136
forest\w_3_b_1_g_5000,110.08518518518518,42.617086563307495,45.43608789848344,48.5,22.0,22.0,270.0,6192.0,400.0,67.46809862187769,0.0436046511627907
forest\w_0.5_b_2_g_10000,106.43214285714286,39.63820018365473,42.3828881714118,47.0,19.0,19.0,280.0,6534.0,400.0,66.79394267348813,0.042852770125497396
