	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
CCND1	2.582621000659025	6585.4006161958305	-1.55419215051067	0.0449760715140039	34.5559782834023	1.1591466588644295e-261	5.468899393254097e-259
TLN1	2.5772927981498124	8860.00161224773	-1.3731846035336	0.0397794792991945	34.519924034335105	4.030805163227487e-261	1.8651775737996091e-258
DKK1	2.5560913766494564	1105.15179299637	-2.9568524206576603	0.0860105718029023	34.377778901801	5.417594333697858e-259	2.4595878274988286e-256
PCDH1	2.5389394333829647	1709.0595066003	-2.53069436804399	0.073862453538047	34.2622570307715	2.8649608988544287e-257	1.2766053545969493e-254
SDC4	2.5254086817551578	749.069612333952	-4.04160794994725	0.11827684904554199	34.1707441698168	6.579044009011016e-256	2.8782719444513284e-253
GDF15	2.523725299194343	1481.4541259572	-2.85403154070838	0.083551668359411	34.1588815250379	9.870209823515034e-256	4.241017656668198e-253
DLG1	2.4667156490632753	4836.6294841646395	2.043313046018	0.0605027819264822	-33.772216432971	5.046359972835167e-250	2.130272169585259e-247
PCYOX1	2.4634129923115613	1582.73282249917	2.38917341865399	0.0707920093058405	-33.749196301691605	1.0984923579621895e-249	4.5572281236700174e-247
PGF	2.445893718884915	1756.1179666803198	-2.3346269924387997	0.0694229164860384	33.6290537852629	6.311729827404846e-248	2.5741159848646685e-245
CXorf36	2.438454083963596	2314.8997068239396	-2.3932628858658798	0.0712755348862588	33.577620844025	3.559681418432488e-247	1.4275509048387091e-244
GUCY1A2	2.4175873968562716	1428.86446097892	2.6927899614174198	0.0805408157652642	-33.4338550687833	4.418332820342737e-245	1.742851218411259e-242
CLDN5	4.411333110255423	1182.44343426667	-2.9521520317586805	0.0884134462340042	33.390306084723896	1.895609783552209e-244	7.356800421263446e-242
CENPF	2.3811164710391104	1186.27493242822	-2.73226675660097	0.0823443514952533	33.1809857869665	2.0247048495741493e-241	7.733086998484617e-239
SEMA3A	2.346042291650698	1374.12707676411	2.80147147174811	0.0850569093416545	-32.9364362452347	6.616359376186367e-238	2.4875443642155688e-235
IGFBP7	2.3315537005457316	2627.74804669915	1.9377542622428603	0.0590155975218506	-32.834612265433805	1.888911364923769e-236	6.992459271199337e-234
FKBP1A	2.329907892555494	4971.72715115972	-1.6824741704331898	0.0512596021571639	32.8226146834823	2.8017085633553085e-236	1.0214350219917497e-233
FLNA	2.322118093295905	36275.7725047617	1.49199702710502	0.0455328110715292	-32.7675140627972	1.709754481109159e-235	6.140315272305767e-233
RALBP1	2.3096860741705436	2184.81603283961	-1.9317606720809701	0.0591120083558034	32.6796657026679	3.037874113698208e-234	1.0749606900559695e-231
CCNG1	2.3082789441292038	6514.99172651644	1.7507418073619399	0.053589796489526	-32.669312481978196	4.2620933283377575e-234	1.4862969516878692e-231
FAM124B	2.286146696394384	4527.012558932821	-1.8058460988646798	0.0555428734748807	32.5126516848535	7.064748048285069e-232	2.4284566791119287e-229
DOCK9	2.2751013620319975	7226.321693335341	-1.3949835895078702	0.0430099547204966	32.4339701953485	9.115708376133066e-231	3.0893264076973784e-228
FLRT2	2.2407122753233186	14551.8123505968	1.52684863620922	0.0474342957489086	-32.1887067595885	2.5396463327135594e-227	8.487356952465796e-225
PLA2G16	2.221054085116938	691.5353643134911	3.75361071823739	0.11712654113822	-32.0474819947752	2.380031066706409e-225	7.844973633847887e-223
PRRC2B	2.203413485675946	2401.1933742167603	-2.13443854028979	0.066867993384745	31.920182321139198	1.401365526517069e-223	4.556710445818058e-221
APLP2	2.2010431641037997	25645.9590644217	1.3298818901262601	0.0416855910085689	-31.902675671622	2.451394066404309e-223	7.864725870109386e-221
SUSD5	2.1965817513417236	751.858938652417	3.4108511055050297	0.10702362821416099	-31.870075444272103	6.939157352122686e-223	2.1969737395628488e-220
BSG	2.182120266636564	2976.5602814269396	-1.99586674591762	0.0628320371475944	31.7651127756572	1.963958646957209e-221	6.137243241959017e-219
