	prize	Base_Mean	log2FC	StdErr	Wald_Stats	P_value	P_adj
KIF20A	1.2650706997369763	548.383364985596	-2.86282400133053	0.11832785748255803	24.193998456809002	2.573068690426039e-129	3.111215016534239e-127
USP22	1.2572453997226114	3860.30762105541	-1.1467029919650502	0.0475429067524486	24.1193286295225	1.5673222571533795e-128	1.8856454075812298e-126
CCDC88A	1.25557963135837	2918.2156504627196	1.4387364883948701	0.0596905808252226	-24.1032415584557	2.3115388612256496e-128	2.7671765213339088e-126
IGFBP4	1.2535215628418208	2938.06288252035	1.5730982234511799	0.0653187744066589	-24.0834007946544	3.731327447633509e-128	4.444712923017699e-126
MTCH1	1.2523931790300424	4104.32933813822	1.10185464744768	0.0457724846543155	-24.072423766573802	4.862352189743149e-128	5.763444255645298e-126
SLC7A2	1.245268676036586	658.573194173397	-2.4776998973085003	0.10321989350168198	24.0040927504747	2.520175825383719e-127	2.972572093646229e-125
BACE1	1.2437550509040163	1469.98130040019	2.0350233557616897	0.0848301398086175	-23.9893905674663	3.588533858148579e-127	4.2120634973059093e-125
FAM63B	1.2421172667857738	930.0995745270061	2.1064809265769497	0.0878670952368886	-23.9734899725307	5.257857594199219e-127	6.141483952991348e-125
CCNB1	1.2418658742219275	708.0286610689169	-2.46616044571531	0.10288152422138701	23.9708778070635	5.598235975673608e-127	6.507476040901369e-125
TMCO1	1.2413532351190066	912.1965584332851	2.13789792068759	0.0892063447719934	-23.965760800444603	6.330063994723348e-127	7.322788453895828e-125
RPS6KA3	1.238507547785337	3966.0441318588796	1.21586102208447	0.0507915545133496	-23.9382518163508	1.2247847919328498e-126	1.4100847685879596e-124
HMGA2	1.2371356546723282	914.6470144645	2.1646400346640102	0.0904765417715864	-23.9248759101423	1.6878043623589795e-126	1.9339023127181796e-124
WIPI1	1.226097150274377	682.9740838973561	2.43667640449319	0.10230231767631698	-23.818389063313397	2.1539504348289297e-125	2.4563201593769492e-123
HADHB	1.2257471565715752	1683.0425381612101	-1.64005653796891	0.0688670757911584	23.8148130892393	2.3457864930966893e-125	2.6624676696647492e-123
CNTNAP1	1.2247813323089913	1521.36569418978	1.62953325858921	0.0684525632288787	-23.8052920405724	2.9438430368699693e-125	3.325575171510099e-123
SAMD4A	1.2233666584950011	3452.26018944267	-1.3189113464531201	0.0554364000283916	23.7914320875389	4.096530582254959e-125	4.606108358421439e-123
PIEZO2	1.223337314312448	391.111160614728	3.4828220808577	0.146392710066273	-23.7909529735531	4.143575974095699e-125	4.637336050636778e-123
AIM1	1.2217373187256269	767.27194323149	-2.34530710805616	0.0986447114045028	23.775294941448802	6.017140552105809e-125	6.702983146517129e-123
NF2	1.2188287721476128	2367.3536994531	-1.3091565236020701	0.0551294246114803	23.746965124853602	1.1810024447439697e-124	1.3095521117709397e-122
GBP1	1.2120096842105337	2382.2471696239604	1.4467287828541397	0.0610932210971241	-23.6806761351505	5.703695737280339e-124	6.295519579377959e-122
SEPT2	1.2116337240463442	9106.45883439045	1.18797097389749	0.0501744019767379	-23.676833745786702	6.247985136962869e-124	6.864795359159839e-122
BMPR2	1.209062610042228	5390.01839169824	-1.3567160630132198	0.0573623828620015	23.651668485898103	1.1345664947872297e-123	1.2409063180713697e-121
CDC20	1.206102013606145	376.05485959748904	-3.4312905917430494	0.145254028075902	23.6226880396738	2.2535084485725695e-123	2.453571053825939e-121
FADS2	1.1961609819969867	13869.293853161202	0.9204875061603829	0.0391271035104255	-23.5255723929352	2.233176516596799e-122	2.4204816820879393e-120
MRPS23	1.195169838841517	668.8170847839721	-2.31452029879638	0.0984244856094203	23.515696165089803	2.818313211070219e-122	3.0409978692722694e-120
PLCB3	1.1940017347123435	2326.90867247094	1.4421231036666102	0.0613562718029725	-23.5040862374683	3.704612814460879e-122	3.9794818545338185e-120
SOX4	1.193548963083694	3768.08057493882	-1.3856417726760502	0.0589648120234356	23.4994690074705	4.130042181599449e-122	4.4167588877175986e-120
SPTBN5	1.1853484575980788	806.537031072186	2.09124023218613	0.0892969804702489	-23.418935569527697	2.741138357537939e-121	2.9184633256229195e-119
CTNND1	1.1804404845541088	9438.619997495942	-0.8809785287193221	0.0376961310643273	23.370529119180897	8.524043931404608e-121	9.035486567288876e-119
RNF149	1.1780874009905207	3082.45763331763	1.1575708343631599	0.0495807385909834	-23.347188187585303	1.4718482149692495e-120	1.5533163047627194e-118
VEPH1	1.1758605388527121	2745.63138345103	1.29893549158893	0.05568838895008799	-23.3250685839221	2.468595168210209e-120	2.5938575081866394e-118
MAP3K12	1.1703521571044504	854.088569496366	2.10118092944635	0.0902936010612568	-23.2705408218338	8.814149310267068e-120	9.221133074071567e-118
SLC44A2	1.1679900694924015	2129.7886807179198	-1.5372560565517899	0.0661270347525086	23.2470133025808	1.5250121654799095e-119	1.5885213301202397e-117
MMP16	1.1666936651381572	1988.59314180857	1.7064288205804399	0.0734453084840977	-23.2340071244975	2.0643805024556296e-119	2.1410829159520392e-117
MYOF	1.165036083220456	14087.3268554981	0.8811622204273308	0.0379526339873596	-23.2174193949439	3.03679780278786e-119	3.136112821059289e-117
APP	1.1644195792978398	23772.065168070298	1.09312378429736	0.0470948080477167	-23.211131536831	3.515007088470869e-119	3.614448741999399e-117
GGH	1.164374356839359	382.689522859243	-3.4151704631725495	0.147139028043615	23.2105003586147	3.5669782063443195e-119	3.652282110683278e-117
LAMP2	1.1636356129836833	3557.1190495303294	1.0976124712947701	0.0473047625281604	-23.2030014026888	4.2463812362445786e-119	4.329509546886319e-117
HOXA9	1.1614124667783756	855.310330889894	-2.02344378518579	0.0872896896684564	23.1807879357943	7.114918762519998e-119	7.223593892985499e-117
PLTP	1.1589420985727399	1429.8607999816597	1.7281632775976101	0.0746310151125221	-23.156100382556	1.2619303263653796e-118	1.2758221644119295e-116
PHACTR4	1.1588805432456826	820.625529639193	-2.13669519327903	0.0922766879463172	23.155308679068302	1.2853217418899896e-118	1.29403396457561e-116
KLHDC8B	1.1577987555621787	958.482638206647	1.93739578109351	0.0837090928396576	-23.144388684327698	1.6557850728157194e-118	1.6600625175871596e-116
ATL3	1.1552206003633982	4026.22585555062	-1.18510633987287	0.0512620440235577	23.118593151070005	3.010407475609799e-118	3.0056607750258494e-116
B4GALT5	1.1551788259967086	1752.15585536897	-1.40927267210959	0.0609599761517232	23.117999072080604	3.0521160581690593e-118	3.0347114294075994e-116
UBE4A	1.148626032296118	2665.05452244096	1.21741740583807	0.0528104541892601	-23.052583518315	1.3857067150270995e-117	1.3721347727153096e-115
SRM	1.1474839065854727	348.18853519701696	-3.60306006974665	0.156375918791324	23.041016146192998	1.8099536162622892e-117	1.7848813079714393e-115
DCAF6	1.1467101745289465	1007.8148711518901	1.8382077742355503	0.0798071552640159	-23.033119876964	2.1717853989478997e-117	2.1329591946728295e-115
GDE1	1.1373165760030106	1655.46282168264	1.4797557404276398	0.0645082327352373	-22.9390215432042	1.8964691585052394e-116	1.8549935321932095e-114
FAM20B	1.136779303413067	816.8036344799119	-2.03816354100822	0.0888729136038345	22.9334614829178	2.1549385456200294e-116	2.0992765702311395e-114
AP2A1	1.1359072455809003	2452.8250925754896	1.39186502655927	0.0607150563535054	-22.9245447530399	2.6448156148009195e-116	2.5661110211024093e-114
EIF2S2	1.1337124894475301	4284.86537567545	-1.16603093795996	0.0509131435015431	22.9023560080241	4.401682164056909e-116	4.253545230182219e-114
NOLC1	1.1279961149448372	1622.4901382260998	-1.53169667283753	0.0670480934675928	22.8447461161273	1.6481502160778994e-115	1.5863116199706496e-113
SLC35B1	1.1266953159145596	879.6182624593449	1.99080652826967	0.0871956779447419	-22.8314817338916	2.2325973636288496e-115	2.1402692336110494e-113
TPM1	1.1201882844747544	4507.88167221948	1.08383864270076	0.0476083737637073	-22.7657144535146	1.0028601418482297e-114	9.575722513155618e-113
RPN2	1.1200258236319567	5273.86315493435	-1.01670020261455	0.0446628288618713	22.763900731834504	1.0452169297210197e-114	9.940715321323007e-113
TRIB1	1.1181614935483801	526.2590993938379	-2.93645414377869	0.129103859479328	22.744898220869104	1.6119539816291596e-114	1.5270408151953098e-112
ABLIM3	1.1174018376847872	1534.63748237418	1.6526699305574297	0.0726862110604378	-22.737048835621	1.9276344954582095e-114	1.81893102861629e-112
FAM107A	1.1171501434391873	409.60753686875603	-3.2347527552278	0.14228492102719598	22.734332857446898	2.0506611273083395e-114	1.9274612517692696e-112
CCND3	1.1136220027806252	1129.9965359820098	-1.89988924453504	0.0837012086953075	22.6984684468667	4.638751660423079e-114	4.343098928136199e-112
THAP12	1.1117811442157226	2096.59745593627	-1.40558472337342	0.0619755864054515	22.6796518580385	7.114978006209568e-114	6.635682200985069e-112
SLC3A2	1.1111591435263486	4053.3189248907397	-1.12731737303784	0.0497203072084207	22.67317794945	8.242400041198808e-114	7.657476053719137e-112
CDC23	1.1022130277410955	827.576384098311	-2.11642374711969	0.0937210944105134	22.5821493062108	6.491407177946459e-113	6.007547673682609e-111
PHACTR2	1.099038782980506	7049.53200262879	-1.12943120275801	0.050086410938614996	22.549653320982	1.3534134459919395e-112	1.2477331163777e-110
FAM198B	1.0962836748445213	3610.5256398241295	1.2353149810071202	0.0548507468579924	-22.521388527403897	2.562135443847409e-112	2.353057368315129e-110
CYR61	1.0905267659512965	2548.00065844824	-1.3372857318103601	0.0595344112851131	22.4623995256463	9.681606583348148e-112	8.857749718955249e-110
HMGB2	1.0894449044179202	1090.2203480722198	-1.8386114391558102	0.0818938282972215	22.451159963884397	1.2467568488469598e-111	1.1363433067028598e-109
TNFRSF10D	1.0854160735761924	3290.5350262506895	1.2656311497483999	0.0564768945075984	-22.4097157037932	3.1645123423073094e-111	2.873377206815039e-109
ANLN	1.08511098554551	729.1387034970579	-2.10717314107548	0.0940432795423982	22.406419164970604	3.407621577754379e-111	3.0824883610498394e-109
PIK3CG	1.0837430501013743	537.883995185175	2.6766320505263197	0.11953403042198	-22.392217856933698	4.6867795768524184e-111	4.223718733266769e-109
CDK6	1.0826518239625964	2565.09245032772	-1.5155206510082702	0.0677150635635006	22.380849566612	6.048123842961119e-111	5.430222235422779e-109
SMAD3	1.0817661887238257	2046.0091802831896	-1.4535289844991202	0.0649720967370008	22.371588073920805	7.443919795210358e-111	6.658572420533519e-109
SCRN1	1.0759351269237374	5099.06719985341	0.9842715801028471	0.0441150972989454	-22.311445295766802	2.8610098257109794e-110	2.5496895713428793e-108
SLC35A4	1.0758750306733078	499.13676755364304	-2.55728730588001	0.11462176361792999	22.310660952698804	2.9116187073296994e-110	2.5852165806556193e-108
ACTN1	1.0749018368184982	11158.0853158436	0.889920422789344	0.0399059043014055	-22.300470027388897	3.65639831158755e-110	3.2345682416698396e-108
JUN	1.0748275747333158	1741.9917301228197	-1.58323187969882	0.0709984081165793	22.299540534756197	3.7331329009599186e-110	3.2903532550511887e-108
PI4KA	1.0737476560094144	1487.74149153886	1.6119424385198302	0.0723225363146391	-22.288245416436702	4.804555775508959e-110	4.219241644901329e-108
CNN2	1.0723772787057744	3488.03624528349	1.2234917714743898	0.0549292711423692	-22.2739487713803	6.611090476933578e-110	5.784583965671848e-108
MYC	1.0714575491842562	1455.01694949882	-1.99974233559669	0.0898183529066025	22.264295334786702	8.200162168397059e-110	7.148996452752538e-108
MKI67	1.0648792061541286	780.201821350477	-2.2014287538604598	0.0991807373859157	22.1961321510912	3.7430655369089285e-109	3.2514672544802393e-107
USP16	1.0628560412484689	1143.7295850652301	1.6488810872039	0.0743576102237894	-22.1750145310126	5.985617334906328e-109	5.1807886443351094e-107
PRKAR2A	1.0613260088426686	1235.2412857041	-1.63067755399726	0.0735898799669473	22.158991898474003	8.544203755995177e-109	7.368839812786958e-107
CHD9	1.0545297998742236	2650.38162806805	1.51043166377356	0.0683817104667662	-22.088240458793997	4.100589746986279e-108	3.523871088999419e-106
ARVCF	1.0534907209704678	934.2587773563221	-1.8245802437471799	0.0826452048592795	22.077266876570896	5.2276018188996495e-108	4.47638985645421e-106
TRIM24	1.0532133660293155	3665.1344115466204	1.2189024881548	0.0552183736788208	-22.074219267024898	5.592175377106598e-108	4.771593046948188e-106
EDEM1	1.0530214973709529	1713.9545548497501	-1.3476388766997	0.061056320354681	22.0720618090177	5.865499147042609e-108	4.987125105163928e-106
CPNE3	1.0505742763049988	1256.69090427412	-1.58425160532468	0.0718598454948795	22.046409847034397	1.0340915446456299e-107	8.761377023684187e-106
KRT18	1.0447358009038596	3663.4288162930497	-1.0414977620285601	0.0473724337554078	21.985312542859802	3.980458012511629e-107	3.360623884107189e-105
ANXA3	1.0417127723798727	1620.78803936906	-1.53159750704707	0.0697654170781317	21.953534733860998	8.012297614843028e-107	6.740975706585759e-105
HIST1H1C	1.0415196722441988	1198.8669724622198	-1.71390579862766	0.078077449558784	21.9513548190028	8.40587543234573e-107	7.047462531466998e-105
SHISA5	1.0381756579349701	5521.503696458871	-1.02452272139321	0.0467473561542368	21.916163943323898	1.8217759807236394e-106	1.5220685294504296e-104
INPP5D	1.0353621076855652	1932.30917576763	1.4030768391125101	0.0641069911395656	-21.886487170454	3.4942610863542695e-106	2.909304853282229e-104
MMP2	1.026690262289261	4706.76020232067	1.3697128038833002	0.062844999522204	-21.795096098288102	2.5824983131379994e-105	2.1427611865767796e-103
TRIB3	1.0254896567297003	770.8064110256449	-2.04699090082945	0.0939750641499038	21.782277238611	3.4166114623128692e-105	2.8251032648169193e-103
ERRFI1	1.0244774869983124	2180.08236131522	-1.28143181148344	0.0588583849773775	21.7714402455311	4.328151250981659e-105	3.5665745000383794e-103
SLC30A7	1.023237927312377	1427.3858969962803	-1.6284866456103602	0.0748452789891802	21.758040956006997	5.797261312632129e-105	4.744683731447419e-103
MMP1	1.023237927312377	72347.8860726403	-0.972976817148826	0.0447178699319201	21.7581208279848	5.787174072399299e-105	4.744683731447419e-103
SGCE	1.0214696968795784	857.059112668116	1.8581208148519999	0.0854732692072166	-21.7392037544191	8.740184603398938e-105	7.129027861931699e-103
ADGRA2	1.0193490911474945	834.8219053570799	2.20524835326399	0.10154656053688399	-21.716622814250805	1.4290613509143895e-104	1.1616916968142597e-102
MRPL49	1.0189320855388768	953.540731731806	-1.7694765072624299	0.0814974211054718	21.712055219175898	1.5783967316871e-104	1.2787670760220597e-102
UBE2D3	1.0168161916087195	4774.9316313069	1.13605294650714	0.0523780215604335	-21.689497095577998	2.5778959294116692e-104	2.0815212031376994e-102
PLK2	1.0110517075338987	11707.3285642994	-0.875578244277134	0.0404831965595893	21.628189438754603	9.75368470233513e-104	7.849269608949428e-102
TNPO1	1.0048587806921896	14435.123387161299	-0.9824049677846709	0.0455615628537491	21.562143751261395	4.072972361458129e-103	3.266795365380179e-101
ARHGEF17	0.9928450474348807	1723.43375465469	1.51773591305663	0.0708110929719388	-21.4335897012363	6.497256759999578e-102	5.193920005286048e-100
RAB5B	0.9919501879356031	2269.05984336972	-1.30340206177681	0.0608388613389408	21.4238405041048	8.010441016928977e-102	6.38235866719686e-100
ISG20	0.9910520845501637	452.76694429397696	-2.89639133837105	0.135256571623083	21.414052593632	9.883310759280167e-102	7.848588233986778e-100
CELF1	0.9896587736891185	4368.4069278717	-1.0729345692899799	0.050139602682887	21.3989443848581	1.3666726150088397e-101	1.0817393573138997e-99
FLI1	0.9883991215004625	7609.276764896859	-0.8900759220876578	0.0416209966463934	21.38526209859	1.8325505650466495e-101	1.4457321867590996e-99
DYNC2H1	0.9879006780851678	1126.8342488816	2.13414465744281	0.0998208261597059	-21.379753499819103	2.0621578014148602e-101	1.6215568960014497e-99
BUB3	0.9853639478992424	2294.66022345959	-1.20640917998689	0.0565001381069858	21.352322674017103	3.7103242352125385e-101	2.9080723696313992e-99
GSPT1	0.9834059018726886	2199.6449755347303	-1.25678319155351	0.0589179046839121	21.331091088456198	5.842904752658029e-101	4.564674485664199e-99
HPSE	0.9822162510067103	631.008894870748	2.15562550017708	0.101117045486869	-21.318121883387303	7.709064091126018e-101	6.003090620086539e-99
FAM78A	0.9802563053445863	1173.20410362208	1.6445722271545402	0.0772214314924726	-21.2968368414	1.2145053630541697e-100	9.426912272841748e-99
PTGER4	0.9799372061350498	672.327743070235	-2.08221032490676	0.0977873737080105	21.293243145318197	1.3113180918098796e-100	1.0145638561134898e-98
RNF169	0.9770116439169998	2211.46149432767	-1.2979410309366202	0.06104653421303	21.2615023550278	2.5802303531937395e-100	1.9899199602098696e-98
MME	0.9753896841957099	561.4343201838819	2.4334378225479503	0.11454804561180802	-21.2438179067204	3.7604878992786087e-100	2.8908900904933495e-98
MGAT5	0.972925876825172	2871.37725795606	-1.32306178692395	0.0623585550871779	21.2170051899742	6.652888472566868e-100	5.098146574105228e-98
DSTN	0.9713517780255999	4248.59350133298	1.06104026375183	0.0500495331015938	-21.1998034346906	9.589611845322857e-100	7.325245721338368e-98
LGALS1	0.968704305021231	12207.5936418531	0.8307836820275679	0.0392416944879376	-21.1709431223195	1.7698027192086595e-99	1.3476263616961598e-97
PRNP	0.9662401602249454	4848.15785447992	-1.06164363912304	0.0502100748884733	21.1440361616899	3.1312051114404694e-99	2.3767525991003296e-97
MRPL15	0.9606126973309643	1262.33009783166	-1.6654211423491898	0.07899486021542401	21.0826519321319	1.1476928193119897e-98	8.684208999460739e-97
BIRC5	0.9602557229538377	303.95109846163996	-3.70844274602005	0.175933908160615	21.0786128995356	1.2499328014575197e-98	9.428176510555127e-97
CMTM7	0.9600035371451843	720.0604230444541	-1.90145355382128	0.0902201170658961	21.0757158786712	1.3288150595008196e-98	9.991858738033968e-97
NCL	0.959413923936302	7789.154975197429	-0.9771394918743209	0.0463777590765845	21.0691398491409	1.5267956583959694e-98	1.1444784153371897e-96
JAM3	0.9505986768684741	6034.358140844929	0.9135268026104408	0.043558007747423994	-20.9726488848532	1.1658870069272398e-97	8.712289801454417e-96
ARSB	0.9500684665408379	1249.28110936809	1.6392796288820999	0.078184941613954	-20.9666924991286	1.3213690972729896e-97	9.843586135784118e-96
IRAK1	0.9483771540626371	2251.9671466475697	1.2353303334730301	0.0589712643072835	-20.948004896690897	1.9565812235889998e-97	1.4530635000616798e-95
TIMP2	0.9482540924367383	2399.1953208774103	1.34453829083275	0.0641891365473604	-20.946508446031498	2.0190282465826696e-97	1.4948263898237598e-95
DDX60	0.9480610157813183	3403.2333446829903	-1.25099304083311	0.0597296813067629	20.944244359989103	2.1173092725880297e-97	1.5627820772089995e-95
BAX	0.945877509374759	1868.55126394893	-1.26965448291051	0.0606905527397128	20.9201337868145	3.511277008021959e-97	2.5837415096949292e-95
ELOVL5	0.9439923911413609	3939.1790308615796	0.996564272685901	0.0476841523506108	-20.8992762492324	5.436294893244479e-97	3.988052674428319e-95
LRRC49	0.9438918954886857	343.841869567548	3.05299356813047	0.146090044128998	-20.898026188798198	5.58051945626055e-97	4.0814121324176694e-95
SCD	0.942841758758528	35430.8303341743	0.657734381674579	0.0314911362518709	-20.886333742101897	7.128634392810848e-97	5.197854568479238e-95
BMP2	0.9427701327003092	475.141755152903	-2.3730994773263197	0.11362479645032002	20.8854013513142	7.269139465305958e-97	5.284291051788278e-95
PROCR	0.9412222663137061	6978.65317573395	0.8161601530477659	0.0391101873554259	-20.868224067316802	1.0413092586523898e-96	7.546982946293339e-95
FLOT2	0.9400856668853703	1571.2821956453101	1.37197001750512	0.0657843645092305	-20.8555638979019	1.35689368891483e-96	9.80467746026085e-95
ZSCAN31	0.9383987893046046	944.918965872019	1.6616141057993998	0.0797440912377189	-20.8368304160128	2.0069465851145395e-96	1.44584277637803e-94
ABHD5	0.9368452479904243	550.400061421	-2.21947297128847	0.106605222821488	20.8195519182491	2.8786461624847394e-96	2.0676413122897895e-94
PARP12	0.9324999187464661	1970.9114920965899	-1.25073266159743	0.0602141561142331	20.7714056346593	7.852639862046708e-96	5.623518463112139e-94
BCAP31	0.9317754952489746	2467.23479499565	-1.18496211382545	0.0570701674540271	20.7632492892192	9.3056915579418e-96	6.644318999026578e-94
SLC40A1	0.931022877949196	3638.3729694334706	1.39050362296993	0.0669967954138858	-20.7547781110995	1.1099340710396997e-95	7.901548407502159e-94
OCIAD2	0.9309012561774029	941.676476533847	-1.66742706001147	0.0803451920883311	20.753289856825603	1.1448335758842797e-95	8.125954425642338e-94
ZNF189	0.9304569937675253	741.616121904861	2.16032903701774	0.10412112491587401	-20.7482298982384	1.27188491899308e-95	9.001204388473929e-94
POMGNT1	0.9298458197888293	812.84620316173	-1.91783014018583	0.092464225583025	20.7413205279461	1.4683874960769297e-95	1.0361390008974496e-93
IL1RL1	0.9293171284129806	15251.7787298522	-0.7577527047984641	0.0365440509534985	20.7353231244858	1.6633419561287297e-95	1.1702729283149e-93
SLC35A5	0.9233931551835556	840.396045774929	-1.7235626815725702	0.08338697694294099	20.6694467740682	6.525997141589308e-95	4.578091639093928e-93
CDC42EP3	0.9226056521767818	1253.9529714099099	-1.4321800400986102	0.06931954408892402	20.6605519254627	7.846238451379308e-95	5.488261326078169e-93
F2RL1	0.9208367018705509	652.711312886549	-2.07917433918707	0.10073161110752199	20.6407334929623	1.1825436641467598e-94	8.24764221643462e-93
ANPEP	0.9191953508375712	12529.833561392099	1.11092307504737	0.0538699421798635	-20.6223179400893	1.7306501827829496e-94	1.2035521589052997e-92
ZNF426	0.918858965746923	561.387194572825	-2.3212712480381	0.11258234287904	20.6184308185175	1.8754313766630396e-94	1.3004792445321596e-92
ITGA3	0.9179763805950373	1949.7228507938	-1.31557087673555	0.0638364604973984	20.6084558336245	2.3046737855944595e-94	1.5935362249705096e-92
RGS5	0.9178277026985868	14371.770336355701	-1.03146389441269	0.0500548811390138	20.6066595493071	2.3917921415697693e-94	1.6490344558868698e-92
SMARCA1	0.9175386255372965	1181.89461098623	1.5971153205750501	0.0775174590052776	-20.603298161080197	2.5637387530671894e-94	1.7625337678943596e-92
GALNT7	0.9149462624244326	1495.5006711762803	1.72809591476497	0.083993201308525	-20.5742356267302	4.6703470252764e-94	3.2016492912307896e-92
NAA50	0.9138380887566807	1767.44330345612	-1.2967825214650701	0.0630678014424606	20.5617207482359	6.045080176865438e-94	4.1322931595379595e-92
PARP14	0.9099584005813501	8143.82042039004	-1.0049492315211899	0.0489784472432689	20.5181929620952	1.4811632391408695e-93	1.0096246419322297e-91
H1F0	0.9097326084537528	1286.53945226097	-1.5596510412804299	0.0760229564214596	20.5155273445822	1.5646265453816798e-93	1.0635040659597098e-91
ITGB8	0.9056629116990125	2800.8834178057396	1.18522249667659	0.0579011133532796	-20.4697704074365	4.00502711488297e-93	2.7146186602341995e-91
CIAO1	0.9054017266066776	1162.5499401510901	-1.51971928848611	0.0742532570537613	20.4667020516796	4.265261031107919e-93	2.8828851384977194e-91
ZEB2	0.903668682050034	2649.2664181723603	1.42952581597132	0.0699133609661405	-20.4471047624738	6.374825315851378e-93	4.2966679761909193e-91
SPTAN1	0.9034538858324299	22293.0189215622	0.81797243645548	0.0400093049682181	-20.4445550130213	6.716804702295998e-93	4.514518289012469e-91
KMT2A	0.9026200565617141	4148.09923930199	1.01863274383123	0.0498473381128718	-20.435047936254698	8.161257297611947e-93	5.470088387051219e-91
EIF4EBP2	0.8999684185757707	2477.79632943827	1.2866021215521202	0.0630530203481397	-20.405083126046897	1.5070543703233796e-92	1.00729839607558e-90
FRMD6	0.8984608913927897	4925.86723844823	0.997793521207587	0.0489403088587098	-20.3879694361596	2.1383871705602194e-92	1.4253150165656497e-90
RNF141	0.8956750804234376	1637.05658988948	-1.47716066498292	0.0725648463038974	20.3564224307271	4.072572325250579e-92	2.7070230743143495e-90
TMEM184B	0.8937213264328505	1219.78863629188	-1.65298639987093	0.0812908340590471	20.3342285634597	6.403866346548778e-92	4.244898954012589e-90
NUDT21	0.8931284241110098	1646.07969651374	1.3965001493593099	0.0687004000109601	-20.3273947333133	7.360837836684709e-92	4.865837363360098e-90
RAPGEF4	0.8919851834569245	601.0560447301709	2.04851510215853	0.10084085462714099	-20.314336979123198	9.603793123759678e-92	6.331136168326169e-90
DEPDC1	0.8909294914911813	238.88497507188598	-4.9352912055584595	0.24309070848716896	20.302261802898	1.2280052225786597e-91	8.073295537073117e-90
CPT1C	0.8857684760726214	727.5993668741929	1.95905797328384	0.0967739463672411	-20.2436507637039	4.040980312036579e-91	2.6494296530851296e-89
KIAA0100	0.8834128969458623	4997.68306459897	0.9908512213499351	0.0490113500260436	-20.2167706219767	6.969897664691058e-91	4.5573281958640276e-89
PBX1	0.8825773100879332	466.895110662889	2.4724000931303998	0.12235279279869599	-20.2071406510367	8.471564756083227e-91	5.5241948824085296e-89
CLTC	0.8810660240073501	14640.385815375	0.7717137564698349	0.0382229130830046	-20.189820561137896	1.20300546672176e-90	7.823437173042939e-89
OSTM1	0.8810358412062038	1164.80387270104	1.5688887827207199	0.0777087555434489	-20.1893438100874	1.2146693319653699e-90	7.877998238746828e-89
TNS2	0.8810097051266317	1119.67465366497	1.6610960930949301	0.0822776370488607	-20.1889134481158	1.2252951225858498e-90	7.925551408510918e-89
USP54	0.880685380446092	542.778457826681	-2.60229388964115	0.128921586678233	20.185090462282698	1.3238508686749296e-90	8.540080322267058e-89
STAT1	0.8796687363395352	18545.3362964948	-0.7969058698312479	0.0395028319800707	20.173385802650603	1.6775143570946697e-90	1.0792607074976499e-88
BMP4	0.8781002111286337	809.800554062371	-1.9081392832388402	0.0946714318190346	20.155386335407602	2.4136730004521896e-90	1.5487413263168095e-88
TNRC6B	0.8751465058829428	2770.02833181106	1.12808946368182	0.056063703628249	-20.1215651245953	4.777553226133599e-90	3.057379939553899e-88
IQGAP3	0.8696974184360464	240.606065918968	-3.8937594918852096	0.194114037316169	20.0591340313176	1.6798394807876997e-89	1.0721564346608398e-87
EFEMP2	0.8691176934838063	1239.00078441643	1.5155610294839998	0.0755801715409462	-20.0523629225019	1.9248226876355393e-89	1.2252667595207999e-87
SET	0.8672222492765775	6831.14443947678	0.8160983155626801	0.0407427662577489	-20.030508247767	2.985950197341389e-89	1.8957238429664494e-87
SOAT1	0.8642926496940504	935.839156841901	1.6472603850696799	0.0823763842091338	-19.996755148753298	5.8774224126950085e-89	3.7216457393228195e-87
BMP2K	0.8641437194832251	931.196413972792	1.71181691894082	0.0856126201499003	-19.9949133193631	6.098475801516439e-89	3.851483588873719e-87
NXN	0.8637459322779	516.157450350887	-2.18327927132756	0.109217411763471	19.9902125135123	6.700981403132038e-89	4.220916610527829e-87
DMXL1	0.863599011939511	1226.9992902943	1.3986728522331597	0.0699742491391674	-19.988393865455	6.949696797921688e-89	4.36615154964992e-87
SECISBP2L	0.8634541936243665	1824.3359218800501	1.23034839565463	0.0615586654752869	-19.9865995494747	7.204106748831369e-89	4.514198348707819e-87
SLC35F6	0.8602130825362043	929.5158764176041	-1.6988309855991799	0.0851579014529362	19.949187997993	1.52342386056386e-88	9.52120128126951e-87
CEP55	0.8597639394988985	324.146642680885	-2.9806039924453698	0.14944950713376903	19.9438863975476	1.6937980647366494e-88	1.0558593013910197e-86
ZNF146	0.858840458107796	1095.6108065761	-1.88225979935433	0.0944287653404512	19.933118817852602	2.1005519740837695e-88	1.3060331162894997e-86
SLC16A1	0.8572631581729021	4088.4308306926396	-1.01198000075713	0.0508154572312045	19.9148065548783	3.0281974251879994e-88	1.8779506815689095e-86
SBF1	0.856033568716139	1356.47295521422	-1.49781806404174	0.0752653810001643	19.900491356557	4.0295913654795486e-88	2.4925456924464995e-86
CD276	0.8547481869693808	1456.86044182895	-1.3244227394435601	0.066602362776505	19.8855218378345	5.43143001109895e-88	3.351053049411869e-86
SEL1L3	0.8529881500763378	5322.576163374821	1.00970381303017	0.0508281427997755	-19.865054228080698	8.166388321610339e-88	5.025566132853909e-86
APBB2	0.8511383553626708	2444.78477667085	-1.06999130702036	0.0539214275354463	19.843527071255398	1.2534840389192298e-87	7.694217587876178e-86
